,return,cum_return,index_level
2016-04-01,0.003749951419955585,1.0037499514199555,100.37499514199556
2016-04-04,-0.0018882898723759116,1.0018545805522914,100.18545805522913
2016-04-05,-0.008304527609767322,0.9935346515271231,99.3534651527123
2016-04-06,0.010395397200108816,1.0038628388618192,100.38628388618191
2016-04-07,-0.011810785516949529,0.992006430183586,99.2006430183586
2016-04-08,0.003019053500003781,0.9950013506686581,99.50013506686581
2016-04-11,-0.0021644174176428006,0.9928477524146927,99.28477524146928
2016-04-12,0.009237128583806209,1.0020188147678901,100.20188147678901
2016-04-13,0.011080260672234495,1.0131214444340018,101.31214444340017
2016-04-14,-0.0007404486385903071,1.012371280039744,101.23712800397439
2016-04-15,-0.001392170616817362,1.010961886490363,101.09618864903629
2016-04-18,0.005772281139669582,1.016797442720676,101.67974427206761
2016-04-19,0.006377402483266792,1.0232819692568622,102.32819692568623
2016-04-20,0.0023512918095749957,1.0256880037700615,102.56880037700616
2016-04-21,-0.0042494350743623064,1.0213294091914884,102.13294091914884
2016-04-22,0.002802334179515176,1.0241915155034098,102.41915155034098
2016-04-25,-0.003774178994864208,1.0203260333988786,102.03260333988786
2016-04-26,0.003633586526306508,1.0240334763262764,102.40334763262764
2016-04-27,0.003120506113895842,1.0272289790499867,102.72289790499866
2016-04-28,-0.013010017478552533,1.0138647120780706,101.38647120780706
2016-04-29,-0.014420959149696159,0.9992438104818743,99.92438104818743
2016-05-02,0.004190974621302254,1.003431615932097,100.3431615932097
2016-05-03,-0.008712529874586037,0.9946891880011846,99.46891880011846
2016-05-04,-0.009153531468345239,0.985584269217593,98.5584269217593
2016-05-05,-0.0022607116122434984,0.9833561474153283,98.33561474153282
2016-05-06,0.000502694510809368,0.9838504751528045,98.38504751528046
2016-05-09,0.00114441135147788,0.9849764048047263,98.49764048047263
2016-05-10,0.01044654226031604,0.9952660024429328,99.52660024429328
2016-05-11,-0.010796589875233957,0.984520523597793,98.4520523597793
2016-05-12,-0.005392585549548752,0.9792114124490053,97.92114124490054
2016-05-13,-0.006890766590139116,0.9724638951634188,97.24638951634188
2016-05-16,0.01111805332510269,0.9832758006065828,98.32758006065828
2016-05-17,-0.006862888382961856,0.9765276885373524,97.65276885373524
2016-05-18,-0.0015894212531500336,0.9749755746749017,97.49755746749017
2016-05-19,-0.006426999882851643,0.9687094067706828,96.87094067706829
2016-05-20,0.008606946518669549,0.9770470368268902,97.70470368268901
2016-05-23,-0.0033478165149591448,0.9737760626211092,97.37760626211092
2016-05-24,0.012865853769087481,0.9863045230466302,98.63045230466302
2016-05-25,0.009297834917072919,0.9954750196798801,99.54750196798801
2016-05-26,-0.002001885167086805,0.9934821930037775,99.34821930037775
2016-05-27,0.005050330497667078,0.9984996064219935,99.84996064219935
2016-05-31,0.0008133489626095678,0.999311735041043,99.9311735041043
2016-06-01,0.0009284488164122181,1.0002395448386687,100.02395448386687
2016-06-02,0.0057378793136712665,1.0059787986317146,100.59787986317146
2016-06-03,-0.0035425356776365297,1.0024150828466158,100.24150828466159
